iter	Passed	Remaining
399	89711	583127
400	89943	582949
401	90183	582828
402	90413	582637
403	90684	582715
404	90918	582551
405	91177	582544
406	91462	582706
407	91910	583899
408	92159	583825
409	92414	583789
410	92655	583663
411	92879	583428
412	93025	582704
413	93256	582515
414	93497	582386
415	93843	582913
416	94071	582701
417	94331	582691
418	94583	582624
419	94845	582623
420	95073	582412
421	95312	582265
422	95577	582278
423	95817	582138
424	96091	582202
425	96412	582547
426	96651	582397
427	96873	582148
428	97141	582171
429	97399	582130
430	97619	581868
431	97850	581666
432	98089	581515
433	98348	581481
434	98581	581290
435	98818	581127
436	99055	580957
437	99308	580886
438	99536	580664
439	99753	580382
440	100022	580403
441	100247	580167
442	100527	580246
443	100790	580226
444	101048	580179
445	101294	580058
446	101542	579949
447	101770	579730
448	102007	579554
449	102216	579227
450	102446	579016
451	102663	578731
452	102915	578642
453	103134	578368
454	103375	578223
455	103612	578049
456	103872	578005
457	104110	577834
458	104346	577658
459	104575	577438
460	104799	577195
461	105066	577182
462	105291	576945
463	105550	576890
464	105790	576729
465	106027	576551
466	106280	576465
467	106532	576368
468	106782	576260
469	107020	576090
470	107272	575992
471	107476	575636
472	107706	575420
473	107951	575283
474	108179	575061
475	108207	573773
476	108404	573385
477	108673	573378
478	108942	573368
479	109190	573249
480	109549	573709
481	109789	573548
482	110041	573446
483	110301	573387
484	110553	573280
485	110814	573227
486	111069	573136
487	111287	572857
488	111532	572715
489	111759	572480
490	111985	572242
491	112239	572147
492	112513	572152
493	112743	571931
494	112945	571574
495	113132	571135
496	113337	570791
497	113545	570461
498	113755	570146
499	113935	569678
500	114126	569267
501	114322	568878
502	114510	568456
503	114739	568233
504	114982	568079
505	115197	567790
506	115438	567630
507	115643	567290
508	115894	567178
509	116122	566951
510	116348	566716
511	116613	566668
512	116871	566588
513	117139	566554
514	117365	566315
515	117627	566255
516	117862	566058
517	118094	565849
518	118324	565634
519	118608	565671
520	118795	565245
521	119012	564967
522	119241	564745
523	119498	564654
524	119740	564489
525	119974	564291
526	120193	564019
527	120467	564007
528	120705	563825
529	120941	563631
530	121181	563458
531	121409	563232
532	121631	562973
533	121902	562941
534	122118	562656
535	122355	562468
536	122598	562308
537	122871	562285
538	123140	562243
539	123357	561962
540	123609	561841
541	123812	561497
542	124054	561327
543	124281	561094
544	124530	560957
545	124786	560851
546	125053	560798
547	125296	560632
548	125561	560568
549	125823	560486
550	126054	560265
551	126298	560104
552	126531	559898
553	126769	559709
554	127007	559518
